,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,D:dota_replay/Virtus.pro/20260326/,http://replay274.valve.net/570/8743555498_1245713116.dem.bz2,128.47823429107666,toDo,8743555498
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,D:dota_replay/Virtus.pro/20260325/,http://replay271.valve.net/570/8743439271_1066984467.dem.bz2,126.8640365600586,toDo,8743439271
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,D:dota_replay/Virtus.pro/20260325/,http://replay272.valve.net/570/8742477122_938680636.dem.bz2,98.62939548492432,toDo,8742477122
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,D:dota_replay/Virtus.pro/20260325/,http://replay271.valve.net/570/8742422808_1649163111.dem.bz2,78.13988590240479,toDo,8742422808
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,D:dota_replay/Virtus.pro/20260325/,http://replay274.valve.net/570/8742349256_1960224426.dem.bz2,87.39905452728271,toDo,8742349256
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,D:dota_replay/Virtus.pro/20260325/,http://replay273.valve.net/570/8742267022_718731690.dem.bz2,138.54578971862793,toDo,8742267022
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,,D:dota_replay/Virtus.pro/20260324/,http://replay274.valve.net/570/8741331131_456127313.dem.bz2,90.3251256942749,toDo,8741331131
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,D:dota_replay/Virtus.pro/20260324/,http://replay272.valve.net/570/8741272511_1908896749.dem.bz2,77.06494617462158,toDo,8741272511
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,D:dota_replay/Virtus.pro/20260324/,http://replay272.valve.net/570/8741195818_275543897.dem.bz2,97.97615242004396,toDo,8741195818
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,,D:dota_replay/Virtus.pro/20260324/,http://replay271.valve.net/570/8741100481_1612506137.dem.bz2,145.66820526123047,toDo,8741100481
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,,D:dota_replay/Virtus.pro/20260323/,http://replay273.valve.net/570/8740097396_889529345.dem.bz2,170.73397541046145,toDo,8740097396
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,,D:dota_replay/Virtus.pro/20260323/,http://replay273.valve.net/570/8740039655_1217177988.dem.bz2,133.46070289611816,toDo,8740039655
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,,D:dota_replay/Virtus.pro/20260323/,http://replay273.valve.net/570/8739952615_1349453974.dem.bz2,156.36497688293457,toDo,8739952615
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,D:dota_replay/Virtus.pro/20260323/,http://replay274.valve.net/570/8739850995_800467826.dem.bz2,186.0120210647583,toDo,8739850995
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,,D:dota_replay/Virtus.pro/20260211/,http://replay273.valve.net/570/8685845932_1696497414.dem.bz2,164.4726219177246,toDo,8685845932
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,,D:dota_replay/Virtus.pro/20260211/,http://replay271.valve.net/570/8685755756_1991917097.dem.bz2,111.80113315582275,toDo,8685755756
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,,D:dota_replay/Virtus.pro/20260210/,http://replay274.valve.net/570/8685653783_1504144408.dem.bz2,83.57323551177979,toDo,8685653783
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,,D:dota_replay/Virtus.pro/20260208/,http://replay272.valve.net/570/8683023838_1935130289.dem.bz2,84.77154541015625,toDo,8683023838
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,,D:dota_replay/Virtus.pro/20260208/,http://replay272.valve.net/570/8682922613_242490624.dem.bz2,78.94064712524414,toDo,8682922613
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,,D:dota_replay/Virtus.pro/20260208/,http://replay272.valve.net/570/8682808051_2101537760.dem.bz2,76.19936084747314,toDo,8682808051
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,,D:dota_replay/Virtus.pro/20260208/,http://replay272.valve.net/570/8681702184_653086096.dem.bz2,75.39563465118408,toDo,8681702184
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,,D:dota_replay/Virtus.pro/20260207/,http://replay274.valve.net/570/8681570464_1894665067.dem.bz2,89.3348331451416,toDo,8681570464
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,,D:dota_replay/Virtus.pro/20260207/,http://replay271.valve.net/570/8681350238_1012972846.dem.bz2,46.90094184875488,toDo,8681350238
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,D:dota_replay/Virtus.pro/20260207/,http://replay271.valve.net/570/8681252145_360970094.dem.bz2,45.13815784454346,toDo,8681252145
