,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D:dota_replay/PARIVISION/20260421/,http://replay192.valve.net/570/8780454747_1895662945.dem.bz2,87.57246208190918,toDo,8780454747
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D:dota_replay/PARIVISION/20260421/,http://replay193.valve.net/570/8780381253_152744954.dem.bz2,76.39758110046387,toDo,8780381253
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,D:dota_replay/PARIVISION/20260421/,http://replay193.valve.net/570/8780302268_1242254076.dem.bz2,110.46154403686523,toDo,8780302268
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,D:dota_replay/PARIVISION/20260421/,http://replay193.valve.net/570/8779581832_920550539.dem.bz2,148.69901943206787,toDo,8779581832
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D:dota_replay/PARIVISION/20260421/,http://replay191.valve.net/570/8779478244_449031244.dem.bz2,151.35771465301514,toDo,8779478244
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,D:dota_replay/PARIVISION/20260420/,http://replay191.valve.net/570/8779372774_1902983849.dem.bz2,144.14122581481934,toDo,8779372774
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,D:dota_replay/PARIVISION/20260420/,http://replay191.valve.net/570/8778254726_326932885.dem.bz2,91.05946826934814,toDo,8778254726
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,D:dota_replay/PARIVISION/20260420/,http://replay193.valve.net/570/8778162915_908296339.dem.bz2,107.40434741973876,toDo,8778162915
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,D:dota_replay/PARIVISION/20260418/,http://replay191.valve.net/570/8776432038_1389634367.dem.bz2,129.7314968109131,toDo,8776432038
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,D:dota_replay/PARIVISION/20260418/,http://replay191.valve.net/570/8776345901_1868465304.dem.bz2,88.05796241760254,toDo,8776345901
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,D:dota_replay/PARIVISION/20260411/,http://replay272.valve.net/570/8767261875_819752317.dem.bz2,59.898414611816406,toDo,8767261875
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,D:dota_replay/PARIVISION/20260411/,http://replay272.valve.net/570/8767122402_1015200716.dem.bz2,82.21775341033936,toDo,8767122402
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,D:dota_replay/PARIVISION/20260411/,http://replay272.valve.net/570/8767039368_214367435.dem.bz2,34.98987865447998,toDo,8767039368
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,D:dota_replay/PARIVISION/20260411/,http://replay273.valve.net/570/8765867665_1635586596.dem.bz2,69.32218265533447,toDo,8765867665
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,D:dota_replay/PARIVISION/20260411/,http://replay272.valve.net/570/8765781391_486386515.dem.bz2,47.75708103179931,toDo,8765781391
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,D:dota_replay/PARIVISION/20260409/,http://replay273.valve.net/570/8764195216_1342014801.dem.bz2,59.09232711791992,toDo,8764195216
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,D:dota_replay/PARIVISION/20260409/,http://replay274.valve.net/570/8764127437_55741931.dem.bz2,46.00404739379883,toDo,8764127437
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,D:dota_replay/PARIVISION/20260408/,http://replay273.valve.net/570/8762725627_1637034090.dem.bz2,89.81111145019531,toDo,8762725627
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,D:dota_replay/PARIVISION/20260408/,http://replay271.valve.net/570/8762670913_983222438.dem.bz2,60.345306396484375,toDo,8762670913
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,D:dota_replay/PARIVISION/20260403/,http://replay273.valve.net/570/8755766042_1443793063.dem.bz2,117.10468292236328,toDo,8755766042
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,D:dota_replay/PARIVISION/20260403/,http://replay272.valve.net/570/8755676521_81277372.dem.bz2,84.64513492584229,toDo,8755676521
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,D:dota_replay/PARIVISION/20260402/,http://replay274.valve.net/570/8754582619_1767878337.dem.bz2,76.50160121917725,toDo,8754582619
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,D:dota_replay/PARIVISION/20260402/,http://replay273.valve.net/570/8754463676_1564655361.dem.bz2,94.16250038146973,toDo,8754463676
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,D:dota_replay/PARIVISION/20260329/,http://replay274.valve.net/570/8748176080_906124468.dem.bz2,104.36499786376952,toDo,8748176080
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,D:dota_replay/PARIVISION/20260329/,http://replay273.valve.net/570/8748080084_1925019849.dem.bz2,144.77765655517578,toDo,8748080084
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,D:dota_replay/PARIVISION/20260329/,http://replay273.valve.net/570/8748008577_1336734367.dem.bz2,77.14755916595459,toDo,8748008577
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,D:dota_replay/PARIVISION/20260328/,http://replay273.valve.net/570/8747486863_1209807817.dem.bz2,92.8524045944214,toDo,8747486863
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,D:dota_replay/PARIVISION/20260328/,http://replay272.valve.net/570/8747354565_486007222.dem.bz2,145.05935955047607,toDo,8747354565
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,D:dota_replay/PARIVISION/20260328/,http://replay273.valve.net/570/8746313247_2045023391.dem.bz2,100.99324798583984,toDo,8746313247
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,D:dota_replay/PARIVISION/20260328/,http://replay271.valve.net/570/8746216605_42663883.dem.bz2,105.34774208068848,toDo,8746216605
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,D:dota_replay/PARIVISION/20260326/,http://replay271.valve.net/570/8743783853_2102916426.dem.bz2,146.61139965057373,toDo,8743783853
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,D:dota_replay/PARIVISION/20260326/,http://replay273.valve.net/570/8743688613_1563477832.dem.bz2,131.79469680786133,toDo,8743688613
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,D:dota_replay/PARIVISION/20260325/,http://replay274.valve.net/570/8743236667_1421421607.dem.bz2,123.63954067230225,toDo,8743236667
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,D:dota_replay/PARIVISION/20260325/,http://replay271.valve.net/570/8743150168_1221254751.dem.bz2,89.40449047088623,toDo,8743150168
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,D:dota_replay/PARIVISION/20260324/,http://replay274.valve.net/570/8742136025_1516875954.dem.bz2,106.09569549560548,toDo,8742136025
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,D:dota_replay/PARIVISION/20260324/,http://replay271.valve.net/570/8742051677_2081027427.dem.bz2,86.73953247070312,toDo,8742051677
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,D:dota_replay/PARIVISION/20260324/,http://replay272.valve.net/570/8741914801_1040500049.dem.bz2,53.091854095458984,toDo,8741914801
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,D:dota_replay/PARIVISION/20260324/,http://replay273.valve.net/570/8741845584_1730560487.dem.bz2,43.384273529052734,toDo,8741845584
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,D:dota_replay/PARIVISION/20260324/,http://replay273.valve.net/570/8740966610_1237450814.dem.bz2,113.24322891235352,toDo,8740966610
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,D:dota_replay/PARIVISION/20260323/,http://replay271.valve.net/570/8740872359_18903485.dem.bz2,109.78139114379884,toDo,8740872359
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,D:dota_replay/PARIVISION/20260323/,http://replay272.valve.net/570/8740744491_428428623.dem.bz2,140.6415958404541,toDo,8740744491
