,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,D:dota_replay/MOUZ/20260219/,http://replay271.valve.net/570/8696400188_430585954.dem.bz2,60.71288013458252,toDo,8696400188
85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,D:dota_replay/MOUZ/20260218/,http://replay272.valve.net/570/8696122466_504728967.dem.bz2,58.90828704833984,toDo,8696122466
86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,D:dota_replay/MOUZ/20260218/,http://replay274.valve.net/570/8696032319_354048301.dem.bz2,87.052903175354,toDo,8696032319
87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,D:dota_replay/MOUZ/20260217/,http://replay273.valve.net/570/8694931163_1385915222.dem.bz2,76.7870922088623,toDo,8694931163
88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,D:dota_replay/MOUZ/20260217/,http://replay274.valve.net/570/8694844159_517259542.dem.bz2,81.34278869628906,toDo,8694844159
89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,D:dota_replay/MOUZ/20260217/,http://replay272.valve.net/570/8694016846_1107623610.dem.bz2,76.2519474029541,toDo,8694016846
90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,D:dota_replay/MOUZ/20260217/,http://replay272.valve.net/570/8693948351_566568735.dem.bz2,55.88675594329834,toDo,8693948351
91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,D:dota_replay/MOUZ/20260207/,http://replay274.valve.net/570/8680386178_1577541328.dem.bz2,106.79592323303224,toDo,8680386178
92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,D:dota_replay/MOUZ/20260207/,http://replay273.valve.net/570/8680299422_734413392.dem.bz2,93.80484867095949,toDo,8680299422
93,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,D:dota_replay/MOUZ/20260207/,http://replay273.valve.net/570/8680195641_173854905.dem.bz2,113.27769565582275,toDo,8680195641
94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,D:dota_replay/MOUZ/20260206/,http://replay274.valve.net/570/8679156367_1880322917.dem.bz2,104.13936138153076,toDo,8679156367
95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,D:dota_replay/MOUZ/20260206/,http://replay272.valve.net/570/8678833793_367254474.dem.bz2,173.7876319885254,toDo,8678833793
96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,D:dota_replay/MOUZ/20260205/,http://replay273.valve.net/570/8678464003_1491625722.dem.bz2,87.62457847595215,toDo,8678464003
97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,D:dota_replay/MOUZ/20260205/,http://replay274.valve.net/570/8678301907_1719143702.dem.bz2,101.82277584075928,toDo,8678301907
98,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,D:dota_replay/MOUZ/20260205/,http://replay271.valve.net/570/8677667228_1016949287.dem.bz2,113.82187747955322,toDo,8677667228
99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,D:dota_replay/MOUZ/20260204/,http://replay274.valve.net/570/8677505029_157798844.dem.bz2,103.28192329406738,toDo,8677505029
100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,D:dota_replay/MOUZ/20260204/,http://replay274.valve.net/570/8677212065_1761846081.dem.bz2,110.1930341720581,toDo,8677212065
101,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,D:dota_replay/MOUZ/20260204/,http://replay272.valve.net/570/8677045357_990586653.dem.bz2,101.68948554992676,toDo,8677045357
102,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,D:dota_replay/MOUZ/20260204/,http://replay271.valve.net/570/8676474878_766722768.dem.bz2,66.81300926208496,toDo,8676474878
103,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,D:dota_replay/MOUZ/20260203/,http://replay274.valve.net/570/8676214148_1922198847.dem.bz2,70.0094347000122,toDo,8676214148
104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,D:dota_replay/MOUZ/20260203/,http://replay271.valve.net/570/8675934481_2137984471.dem.bz2,70.34039402008057,toDo,8675934481
105,105.0,105.0,105.0,105.0,,,,,D:dota_replay/MOUZ/20260508/,http://replay272.valve.net/570/8801752449_103805876.dem.bz2,73.14503002166748,toDo,8801752449
106,106.0,106.0,106.0,106.0,,,,,D:dota_replay/MOUZ/20260508/,http://replay273.valve.net/570/8801689041_346170213.dem.bz2,50.67393779754639,toDo,8801689041
107,107.0,107.0,107.0,107.0,,,,,D:dota_replay/MOUZ/20260508/,http://replay271.valve.net/570/8801558188_1471036741.dem.bz2,110.94034194946288,toDo,8801558188
108,108.0,108.0,108.0,108.0,,,,,D:dota_replay/MOUZ/20260507/,http://replay273.valve.net/570/8800536923_1418402672.dem.bz2,50.31357288360596,toDo,8800536923
109,109.0,109.0,109.0,109.0,,,,,D:dota_replay/MOUZ/20260507/,http://replay274.valve.net/570/8800459074_1300123747.dem.bz2,74.86583614349365,toDo,8800459074
110,110.0,110.0,110.0,110.0,,,,,D:dota_replay/MOUZ/20260507/,http://replay271.valve.net/570/8800392534_1754345302.dem.bz2,48.23384952545166,toDo,8800392534
111,111.0,111.0,111.0,111.0,,,,,D:dota_replay/MOUZ/20260506/,http://replay274.valve.net/570/8799274239_1600397505.dem.bz2,49.98233509063721,toDo,8799274239
112,112.0,112.0,112.0,112.0,,,,,D:dota_replay/MOUZ/20260506/,http://replay271.valve.net/570/8799205642_395998938.dem.bz2,53.6028470993042,toDo,8799205642
113,113.0,113.0,113.0,113.0,,,,,D:dota_replay/MOUZ/20260504/,http://replay273.valve.net/570/8797782323_1701026105.dem.bz2,48.41033935546875,toDo,8797782323
114,114.0,114.0,114.0,114.0,,,,,D:dota_replay/MOUZ/20260504/,http://replay273.valve.net/570/8797699775_333393989.dem.bz2,54.94279479980469,toDo,8797699775
115,115.0,115.0,115.0,115.0,,,,,D:dota_replay/MOUZ/20260504/,http://replay274.valve.net/570/8797005855_1064340949.dem.bz2,49.927334785461426,toDo,8797005855
116,116.0,116.0,116.0,116.0,,,,,D:dota_replay/MOUZ/20260504/,http://replay273.valve.net/570/8796923918_1491732525.dem.bz2,66.75050640106201,toDo,8796923918
117,117.0,117.0,117.0,117.0,,,,,D:dota_replay/MOUZ/20260504/,http://replay272.valve.net/570/8796840419_858597571.dem.bz2,63.55459308624267,toDo,8796840419
